_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-12-04,Marco Piccinini,Torino,Atalanta,12,14,4,3,14,16,2,1,3,5,20,18,4,4,8,10,SA 23/24
2023-12-08,Daniele Orsato,Juventus,Napoli,11,12,3,6,25,14,2,2,11,8,20,28,2,1,11,13,SA 23/24
2023-12-09,Giovanni Ayroldi,Hellas Verona,Lazio,16,11,1,7,17,14,2,2,8,4,15,26,1,5,5,14,SA 23/24
2023-12-09,Federico La Penna,Atalanta,Milan,11,11,6,4,16,17,1,1,8,7,10,21,7,3,19,14,SA 23/24
2023-12-09,Marco Di Bello,Inter,Udinese,9,6,6,1,18,15,1,1,6,7,17,14,7,1,16,11,SA 23/24
2023-12-10,Luca Massimi,Frosinone,Torino,13,17,3,8,14,18,0,3,10,6,22,17,5,3,11,16,SA 23/24
2023-12-10,Giuseppe Collu,Monza,Genoa,11,13,2,3,12,16,2,0,9,3,15,25,3,1,6,16,SA 23/24
2023-12-10,Simone Sozza,Salernitana,Bologna,20,15,5,1,27,12,0,2,8,5,12,20,2,5,9,10,SA 23/24
2023-12-10,Antonio Rapuano,Roma,Fiorentina,14,14,1,6,18,10,1,0,8,3,12,14,1,8,4,14,SA 23/24
2023-12-11,Andrea Colombo,Empoli,Lecce,14,18,8,3,11,8,3,2,6,9,30,14,6,5,18,14,SA 23/24
2023-12-11,Maurizio Mariani,Cagliari,Sassuolo,15,15,10,4,15,12,2,2,7,18,36,17,5,4,18,8,SA 23/24
2023-12-15,Davide Massa,Genoa,Juventus,14,12,6,8,15,8,0,3,9,9,19,22,3,3,11,10,SA 23/24
2023-12-16,Luca Zufferli,Lecce,Frosinone,8,14,5,4,22,19,6,0,8,13,15,24,6,4,17,10,SA 23/24
2023-12-16,Matteo Marcenaro,Napoli,Cagliari,9,10,5,3,17,22,5,1,5,14,20,17,5,3,21,9,SA 23/24
2023-12-16,Livio Marinelli,Torino,Empoli,15,10,6,4,12,15,2,2,4,4,26,12,3,2,10,7,SA 23/24
2023-12-17,Gianluca Aureliano,Milan,Monza,8,8,4,5,15,21,3,0,11,8,8,5,9,4,17,21,SA 23/24
2023-12-17,Maria Sole Ferrieri Caputi,Fiorentina,Hellas Verona,12,12,1,6,18,16,2,5,7,12,26,18,3,6,5,18,SA 23/24
2023-12-17,Gianluca Manganiello,Udinese,Sassuolo,13,6,1,13,14,9,1,0,8,2,10,37,7,5,9,19,SA 23/24
2023-12-17,Marco Guida,Bologna,Roma,16,16,0,4,18,18,4,3,2,7,9,19,2,3,8,8,SA 23/24
2023-12-17,Fabio Maresca,Lazio,Inter,13,15,8,7,13,9,1,0,7,4,15,16,4,4,13,12,SA 23/24
2023-12-18,Ermanno Feliciani,Atalanta,Salernitana,9,11,10,7,8,20,1,3,3,7,22,25,11,3,20,10,SA 23/24
2023-12-22,Marco Guida,Sassuolo,Genoa,11,9,3,6,13,20,2,1,12,8,14,19,3,4,12,13,SA 23/24
2023-12-22,Matteo Marchetti,Empoli,Lazio,6,17,8,9,15,28,1,3,4,8,25,21,7,7,21,14,SA 23/24
2023-12-22,Juan Sacchi,Monza,Fiorentina,12,16,1,4,15,10,0,0,9,5,18,25,2,4,7,14,SA 23/24
2023-12-22,Daniele Doveri,Salernitana,Milan,16,11,6,6,10,14,2,2,10,7,16,13,7,8,19,21,SA 23/24
2023-12-23,Maurizio Mariani,Frosinone,Juventus,6,12,8,8,13,29,1,5,8,8,23,26,3,3,10,13,SA 23/24
2023-12-23,Michael Fabbri,Torino,Udinese,10,11,8,2,13,23,3,1,5,10,24,11,4,4,14,10,SA 23/24
2023-12-23,Antonio Rapuano,Bologna,Atalanta,10,14,3,5,17,18,0,1,12,12,26,19,1,2,9,12,SA 23/24
2023-12-23,Matteo Marcenaro,Inter,Lecce,8,14,16,2,12,21,0,0,8,12,16,13,8,5,20,11,SA 23/24
2023-12-23,Daniele Orsato,Hellas Verona,Cagliari,9,19,11,7,15,14,1,1,9,10,10,26,5,3,13,12,SA 23/24
2023-12-23,Andrea Colombo,Roma,Napoli,19,12,4,0,11,10,2,1,4,10,16,25,4,2,17,7,SA 23/24
2023-12-29,Marco Di Bello,Napoli,Monza,10,21,10,1,9,20,0,2,3,11,21,13,9,2,25,7,SA 23/24
2023-12-29,Federico La Penna,Fiorentina,Torino,11,15,4,2,6,13,2,2,3,7,21,17,3,3,12,6,SA 23/24
2023-12-29,Ermanno Feliciani,Lazio,Frosinone,18,15,6,2,18,18,2,0,5,3,26,25,5,1,13,10,SA 23/24
2023-12-29,Daniele Doveri,Genoa,Inter,13,15,8,2,10,10,0,0,11,5,16,16,4,6,13,16,SA 23/24
2023-12-30,Gianluca Manganiello,Atalanta,Lecce,10,16,5,6,17,20,2,3,12,11,21,18,3,2,17,15,SA 23/24
2023-12-30,Daniele Orsato,Udinese,Bologna,15,14,7,7,16,21,1,0,5,9,14,19,7,5,15,14,SA 23/24
2023-12-30,Fabio Maresca,Cagliari,Empoli,18,18,8,6,15,21,3,3,6,9,25,16,2,1,13,5,SA 23/24
2023-12-30,Livio Marinelli,Milan,Sassuolo,8,7,6,5,12,13,6,0,10,13,15,20,2,6,20,12,SA 23/24
2023-12-30,Maurizio Mariani,Hellas Verona,Salernitana,14,13,7,6,23,13,2,0,6,9,19,28,0,3,11,9,SA 23/24
2023-12-30,Simone Sozza,Juventus,Roma,15,14,2,2,7,10,2,0,9,9,11,13,3,2,13,11,SA 23/24
2024-01-05,Andrea Colombo,Bologna,Genoa,8,10,11,2,16,19,2,0,6,8,23,18,8,1,21,3,SA 23/24
2024-01-06,Michael Fabbri,Inter,Hellas Verona,16,15,7,0,14,14,6,1,6,9,21,16,6,3,15,7,SA 23/24
2024-01-06,Maria Sole Ferrieri Caputi,Frosinone,Monza,11,16,5,1,8,24,2,0,4,8,27,14,4,2,9,7,SA 23/24
2024-01-06,Davide Massa,Lecce,Cagliari,20,14,7,6,13,18,6,0,12,8,23,20,2,2,15,14,SA 23/24
2024-01-06,Rosario Abisso,Sassuolo,Fiorentina,10,14,1,8,5,9,5,6,9,6,16,22,1,1,7,8,SA 23/24
2024-01-07,Federico La Penna,Empoli,Milan,9,13,6,6,17,16,0,0,5,6,20,24,2,5,17,12,SA 23/24
2024-01-07,Juan Sacchi,Udinese,Lazio,16,22,4,4,10,13,0,1,5,11,30,22,2,2,13,7,SA 23/24
2024-01-07,Maurizio Mariani,Torino,Napoli,7,10,2,5,4,10,3,3,6,9,20,13,6,3,10,10,SA 23/24
2024-01-07,Marco Guida,Salernitana,Juventus,9,15,2,8,6,15,0,2,14,4,18,18,3,3,8,18,SA 23/24
2024-01-07,Gianluca Aureliano,Roma,Atalanta,14,14,6,5,14,22,2,1,4,9,25,12,5,2,15,8,SA 23/24
2024-01-13,Livio Marinelli,Napoli,Salernitana,15,10,8,3,16,20,0,0,4,14,18,18,6,2,18,6,SA 23/24
2024-01-13,Antonio Giua,Genoa,Torino,11,11,8,4,14,13,0,2,8,6,19,18,6,0,11,6,SA 23/24
2024-01-13,Daniele Doveri,Hellas Verona,Empoli,20,17,5,9,19,19,0,0,8,7,16,20,7,1,11,14,SA 23/24
2024-01-13,Antonio Rapuano,Monza,Inter,6,12,4,5,8,10,3,2,9,9,14,16,1,5,8,18,SA 23/24
2024-01-14,Maria Sole Ferrieri Caputi,Lazio,Lecce,14,12,2,5,24,18,0,0,8,8,19,27,2,3,8,11,SA 23/24
2024-01-14,Gianluca Manganiello,Cagliari,Bologna,12,8,2,5,16,14,1,3,9,3,17,24,2,4,5,11,SA 23/24
2024-01-14,Luca Pairetto,Fiorentina,Udinese,14,13,4,4,20,12,1,1,7,6,24,16,2,6,9,12,SA 23/24
2024-01-14,Marco Guida,Milan,Roma,12,9,2,5,16,12,1,5,6,8,11,12,5,4,17,11,SA 23/24
2024-01-15,Alessandro Prontera,Atalanta,Frosinone,11,8,8,2,17,16,0,2,3,6,29,33,8,5,20,8,SA 23/24
2024-01-16,Marco Piccinini,Juventus,Sassuolo,9,9,5,2,17,20,6,0,9,5,15,20,5,4,12,8,SA 23/24
2024-01-20,Juan Sacchi,Roma,Hellas Verona,14,12,1,2,21,11,5,1,7,4,22,15,2,3,9,11,SA 23/24
2024-01-20,Fabio Maresca,Udinese,Milan,12,9,5,7,16,21,0,2,2,6,18,16,6,7,11,15,SA 23/24
2024-01-21,Federico Dionisi,Frosinone,Cagliari,11,18,8,4,9,14,2,2,5,10,23,18,7,4,17,9,SA 23/24
2024-01-21,Antonio Giua,Empoli,Monza,15,10,1,7,15,13,0,2,7,5,15,20,5,5,9,15,SA 23/24
2024-01-21,Daniele Orsato,Salernitana,Genoa,7,15,5,5,18,11,7,0,2,6,24,23,2,4,11,4,SA 23/24
2024-01-21,Daniele Doveri,Lecce,Juventus,8,12,5,5,16,16,0,0,11,9,15,21,3,6,12,15,SA 23/24
2024-01-26,Andrea Colombo,Cagliari,Torino,12,12,9,2,16,11,0,6,9,5,25,20,9,6,25,16,SA 23/24
2024-01-27,Marco Piccinini,Atalanta,Udinese,8,11,4,4,23,19,1,3,8,6,29,23,11,5,14,13,SA 23/24
2024-01-27,Livio Marinelli,Juventus,Empoli,11,6,6,7,14,19,0,2,11,4,20,10,3,5,9,16,SA 23/24
2024-01-27,Davide Massa,Milan,Bologna,16,12,4,1,13,18,1,1,6,9,10,11,3,3,12,14,SA 23/24
2024-01-28,Luca Pairetto,Genoa,Lecce,12,17,3,8,18,18,1,0,8,7,19,18,7,4,19,18,SA 23/24
2024-01-28,Gianluca Manganiello,Monza,Sassuolo,8,13,4,5,21,11,2,0,7,7,16,18,1,3,12,14,SA 23/24
2024-01-28,Federico La Penna,Hellas Verona,Frosinone,17,12,1,9,15,16,3,2,7,13,28,20,3,6,13,11,SA 23/24
2024-01-28,Gianluca Aureliano,Fiorentina,Inter,6,12,7,6,19,12,3,4,2,9,11,15,3,4,13,8,SA 23/24
2024-01-29,Marco Di Bello,Salernitana,Roma,12,12,5,1,15,11,3,4,2,6,15,9,7,1,15,4,SA 23/24
2024-02-02,Antonio Giua,Lecce,Fiorentina,13,15,1,3,16,19,4,1,7,3,23,29,8,3,16,10,SA 23/24
2024-02-03,Alessandro Prontera,Udinese,Monza,12,13,7,4,7,18,1,0,2,8,25,13,6,1,21,3,SA 23/24
2024-02-03,Ermanno Feliciani,Empoli,Genoa,11,12,6,6,13,20,2,2,7,6,32,19,4,1,15,10,SA 23/24
2024-02-03,Luca Pairetto,Frosinone,Milan,10,13,2,4,15,7,0,1,7,7,20,34,3,5,6,13,SA 23/24
2024-02-03,Juan Sacchi,Bologna,Sassuolo,11,10,7,4,16,17,1,0,5,7,32,18,3,4,19,12,SA 23/24
2024-02-04,Daniele Chiffi,Torino,Salernitana,11,8,10,1,8,10,3,0,5,11,31,18,1,1,13,3,SA 23/24
2024-02-04,Marco Piccinini,Napoli,Hellas Verona,11,14,9,2,15,25,2,2,15,7,24,15,7,2,19,12,SA 23/24
2024-02-04,Marco Guida,Atalanta,Lazio,13,14,6,1,22,11,1,1,6,10,7,27,4,0,18,6,SA 23/24
2024-02-04,Fabio Maresca,Inter,Juventus,8,8,6,4,15,8,0,0,6,11,17,13,3,1,15,12,SA 23/24
2024-02-05,Matteo Marcenaro,Roma,Cagliari,8,12,7,5,13,8,5,0,9,6,8,13,5,3,19,12,SA 23/24
2024-02-09,Maurizio Mariani,Salernitana,Empoli,10,17,4,8,8,18,2,1,6,8,25,15,4,2,13,16,SA 23/24
2024-02-10,Marco Di Bello,Cagliari,Lazio,6,9,7,8,11,11,1,3,9,13,16,22,6,5,13,12,SA 23/24
